date,pm25
1990-01-01,39.6557384808528
1991-01-01,39.3526366653368
1992-01-01,39.1125179210529
1993-01-01,38.9369222560452
1994-01-01,38.825853941309
1995-01-01,38.7821357748803
1996-01-01,38.866449408306
1997-01-01,39.0877009463928
1998-01-01,39.3740883120852
1999-01-01,39.6503543594892
2000-01-01,39.836516383255
2001-01-01,39.9095714271776
2002-01-01,39.9047898830216
2003-01-01,39.8291816117305
2004-01-01,39.692978378396
2005-01-01,39.5104179564352
2006-01-01,38.9280450298312
2007-01-01,37.830432345733
2008-01-01,36.5857500717606
2009-01-01,35.5680152793447
2010-01-01,35.1333747870268
2011-01-01,38.6072302848633
2012-01-01,41.1095684324473
2013-01-01,43.0857565811496
2014-01-01,42.426040088424
2015-01-01,42.1556505072571
2016-01-01,40.9705092247096
2017-01-01,38.3856772409041
2018-01-01,37.6338719238109
2019-01-01,34.4926075995231
2020-01-01,31.3238388191905
