date,cases
2020-02-24,1181.14
2020-03-02,1424.7728571428572
2020-03-09,3707.55
2020-03-16,10896.41
2020-03-23,28151.004285714287
2020-03-30,52554.35
2020-04-06,67797.81285714287
2020-04-13,74554.28714285714
2020-04-20,73108.24571428572
2020-04-27,77290.73285714285
2020-05-04,78680.84
2020-05-11,83669.14
2020-05-18,88984.22142857143
2020-05-25,100186.22142857143
2020-06-01,106503.69714285714
2020-06-08,121849.54857142856
2020-06-15,131577.79571428572
2020-06-22,149930.38714285713
2020-06-29,168925.49285714285
2020-07-06,191855.75142857144
2020-07-13,207111.32714285716
2020-07-20,228322.47285714286
2020-07-27,250948.20285714284
2020-08-03,262736.32714285713
2020-08-10,263617.5542857143
2020-08-17,268064.8542857143
2020-08-24,261558.36428571428
2020-08-31,270130.8942857143
2020-09-07,283025.7557142857
2020-09-14,282529.3714285714
2020-09-21,299595.26714285713
2020-09-28,301169.46571428573
2020-10-05,309467.50999999995
2020-10-12,342637.95857142855
2020-10-19,381235.79999999993
2020-10-26,450449.5742857143
2020-11-02,510559.88
2020-11-09,554995.4085714285
2020-11-16,579720.3085714286
2020-11-23,585449.49
2020-11-30,578239.2057142857
2020-12-07,604071.6757142857
2020-12-14,630802.0399999999
2020-12-21,640259.4514285715
2020-12-28,590925.8571428572
2021-01-04,622193.1428571428
2021-01-11,712225.0414285715
2021-01-18,680551.8
2021-01-25,593850.5128571428
2021-02-01,522062.5528571429
2021-02-08,443136.4928571428
2021-02-15,383656.0785714286
2021-02-22,357286.9428571428
2021-03-01,381763.8185714286
2021-03-08,395687.12142857147
2021-03-15,430771.0014285714
2021-03-22,485764.0014285714
2021-03-29,553243.5728571429
2021-04-05,596782.1242857144
2021-04-12,665046.5142857144
2021-04-19,756999.9814285714
2021-04-26,813672.9557142856
2021-05-03,808751.4500000001
2021-05-10,767336.5085714285
2021-05-17,675283.9771428572
2021-05-24,588726.3271428571
2021-05-31,495735.57571428566
2021-06-07,422122.63571428566
2021-06-14,376010.4457142857
2021-06-21,364382.26714285713
2021-06-28,378604.1185714286
2021-07-05,405064.1614285714
2021-07-12,476004.03714285715
2021-07-19,518366.4485714286
2021-07-26,544625.9571428571
2021-08-02,597677.4928571429
2021-08-09,633701.9828571428
2021-08-16,647321.2428571429
2021-08-23,656394.9214285715
2021-08-30,648428.6571428572
2021-09-06,614084.0428571429
2021-09-13,556542.59
2021-09-20,522908.65714285715
2021-09-27,493021.77857142856
2021-10-04,441270.00428571424
2021-10-11,420966.51428571425
2021-10-18,414452.4314285714
2021-10-25,431979.8385714286
2021-11-01,447906.22142857144
2021-11-08,460404.6571428571
2021-11-15,504721.92142857146
2021-11-22,555666.7785714286
2021-11-29,582806.71
2021-12-06,611313.5671428571
2021-12-13,624221.8128571428
2021-12-20,700148.7557142858
2021-12-27,959403.8742857144
2022-01-03,1620621.552857143
2022-01-10,2454012.9142857143
2022-01-17,3010445.792857143
2022-01-24,3360698.118571428
2022-01-31,3275007.0599999996
2022-02-07,2764920.7557142857
2022-02-14,2211083.7585714287
2022-02-21,1801630.9585714287
2022-02-28,1575499.7585714287
2022-03-07,1575652.4471428574
2022-03-14,1698189.8742857142
2022-03-21,1740187.4514285715
2022-03-28,1537936.0614285714
2022-04-04,1294189.184285714
2022-04-11,997937.0371428571
2022-04-18,793675.7757142857
2022-04-25,657518.2671428572
2022-05-02,563522.7585714286
2022-05-09,524061.65142857144
2022-05-16,562598.9157142857
2022-05-23,532243.5299999999
2022-05-30,481248.7385714286
2022-06-06,470977.1842857143
2022-06-13,508375.03714285715
2022-06-20,555427.3471428572
2022-06-27,670115.1242857144
2022-07-04,776211.7585714286
2022-07-11,918987.2228571428
2022-07-18,1000925.14
2022-07-25,1025449.4871428572
2022-08-01,1023954.5085714285
2022-08-08,967877.7928571429
2022-08-15,814345.6085714286
2022-08-22,756812.6128571428
2022-08-29,671114.0857142858
2022-09-05,592014.4928571428
2022-09-12,469636.08571428567
2022-09-19,481494.4314285714
2022-09-26,460026.1857142857
2022-10-03,461304.46714285715
2022-10-10,458940.3071428571
2022-10-17,447998.7128571429
2022-10-24,406548.1614285714
2022-10-31,357991.20000000007
2022-11-07,336684.28285714285
2022-11-14,359533.26285714284
2022-11-21,389182.1842857143
2022-11-28,430668.79999999993
2022-12-05,490555.4928571429
2022-12-12,870785.7999999999
2022-12-19,2736761.4514285713
2022-12-26,5982654.327142857
2023-01-02,3619922.7585714282
2023-01-09,1444225.2642857141
2023-01-16,649726.0414285715
2023-01-23,339772.01714285713
2023-01-30,219238.02285714285
2023-02-06,195131.12285714285
2023-02-13,176136.55285714284
2023-02-20,162196.79285714286
2023-02-27,152363.0242857143
2023-03-06,144198.36857142855
2023-03-13,127517.53
2023-03-20,124665.77142857143
2023-03-27,118334.3642857143
2023-04-03,112210.13857142859
2023-04-10,100025.18000000001
2023-04-17,100133.47
2023-04-24,104292.51428571428
2023-05-01,96267.90000000001
2023-05-08,86195.85428571429
2023-05-15,77006.09999999999
2023-05-22,52619.06428571429
2023-05-29,48413.53428571428
2023-06-05,41233.49
2023-06-12,37274.89857142857
2023-06-19,21685.384285714284
2023-06-26,28708.715714285714
2023-07-03,25332.592857142856
2023-07-10,26445.34571428571
2023-07-17,29787.347142857143
2023-07-24,37099.71571428572
2023-07-31,53135.83857142857
2023-08-07,88655.18714285713
2023-08-14,23433.875714285714
2023-08-21,49366.54714285715
2023-08-28,50637.93714285714
2023-09-04,46406.26285714285
2023-09-11,31016.47
2023-09-18,17557.350000000002
2023-09-25,19970.955714285716
2023-10-02,22695.920000000002
2023-10-09,23553.06428571429
2023-10-16,21373.432857142856
2023-10-23,20129.635714285716
2023-10-30,20642.24142857143
2023-11-06,22869.144285714287
2023-11-13,25633.327142857142
2023-11-20,30183.18
2023-11-27,34839.224285714285
2023-12-04,41262.32571428572
2023-12-11,48502.9
2023-12-18,54003.40571428571
2023-12-25,49015.305714285714
