date,mobility
2020-03-01,18.114498228793916
2020-04-01,16.27770062902039
2020-05-01,16.541783773417706
2020-06-01,16.990572583992225
2020-07-01,17.297026332372266
2020-08-01,17.376492263496168
2020-09-01,17.571827724932596
2020-10-01,17.685608815229475
2020-11-01,17.591127207733575
2020-12-01,17.58753971112824
2021-01-01,17.53155230420528
2021-02-01,17.48274680345097
2021-03-01,17.742413111805682
2021-04-01,17.790733313776208
2021-05-01,17.883436569855313
2021-06-01,17.99670172110117
2021-07-01,18.019309629006063
2021-08-01,18.011304477225192
2021-09-01,18.11663594256421
2021-10-01,18.23972377967839
2021-11-01,18.226469961583103
2021-12-01,18.181781699136614
2022-01-01,17.97024322776101
2022-02-01,18.066594817043374
2022-03-01,18.284791488037385
2022-04-01,18.237640052643158
2022-05-01,18.289383904282317
2022-06-01,18.2925962386383
2022-07-01,18.203952135325256
2022-08-01,18.233735241178504
2022-09-01,18.326585140251773
2022-10-01,18.37065959793557
2022-11-01,18.32532886327857
2022-12-01,18.33554698132296
2023-01-01,18.304138916428368
2023-02-01,18.24988604098256
2023-03-01,18.430934909831116
2023-04-01,18.36091929574438
2023-05-01,18.464076881721255
2023-06-01,18.394921946438792
2023-07-01,18.324147761829924
2023-08-01,18.358776605778893
2023-09-01,18.37285747468936
2023-10-01,18.462745198299643
2023-11-01,18.405437463221272
2023-12-01,18.389062720970358
2024-01-01,18.334158447343427
2024-02-01,18.318931068025883
2024-03-01,18.419337792596732
2024-04-01,18.42019504602022
2024-05-01,18.478036093399226
2024-06-01,18.38776443779736
2024-07-01,18.3586748423581
2024-08-01,18.34063569294275
2024-09-01,18.45584281850184
2024-10-01,18.545643508008332
2024-11-01,18.4458906958704
2024-12-01,18.459368690210564
